Epilepsy-Focal test	Focal Epilepsy
C0031977	Piracetam
C0031977	Piracetam (product)
C0031977	Product containing piracetam
C0031977	Product containing piracetam (medicinal product)
C0031977	Piracetam
C0031977	Piracetam
C0031977	Piracetam (substance)
C0031977	Piracetam (substance)
C0360117	Barbiturate antiepileptic
C0360117	Barbiturate antiepileptic
C0360117	Barbiturate antiepileptic
C0360117	Barbiturate antiepileptic (product)
C0360117	Barbiturate antiepileptic (substance)
C0360117	Barbiturate antiepileptic (substance)
C0053067	Beclamide
C0053067	Beclamide
C0053067	Beclamide - chemical (substance)
C0053067	Beclamide (substance)
C0053067	Beclamide - chemical
C0053067	Beclamide
C0053067	Beclamide
C0053067	Beclamide (product)
C0053067	Beclamide
C0053067	Beclamide (substance)
C0360123	Carbazepine antiepileptic
C0360123	Carbazepine antiepileptic
C0360123	Carbazepine antiepileptic
C0360123	Carbazepine antiepileptic (product)
C0360123	Carbazepine antiepileptic (substance)
C0360123	Carbazepine antiepileptic (substance)
C0355653	Drugs for control of epilepsy
C0355653	Drugs for the control of epilepsy
C0355653	Drugs for the control of epilepsy
C0355653	Drugs for the control of epilepsy (product)
C0355653	Drugs for the control of epilepsy (substance)
C0355712	Drugs used in status epilept
C0355712	Drugs used in status epilepticus
C0355712	Drugs used in status epilepticus (product)
C0355712	Drugs used in status epilepticus
C0355712	Drugs used in status epilepticus (substance)
C0595982	Febrile Convulsion Medications
C0360125	Gaba related antiepileptic
C0360125	Gaba related antiepileptic
C0360125	Gaba related antiepileptic (product)
C0360125	Gaba related antiepileptic (substance)
C0060926	Gabapentin
C0060926	gabapentin
C0060926	Gabapentin
C0060926	Gabapentin
C0060926	gabapentin
C0060926	Product containing gabapentin
C0060926	Gabapentin (product)
C0060926	Product containing gabapentin (medicinal product)
C0060926	Gabapentin
C0060926	Gabapentin
C0060926	Gabapentin (substance)
C0060926	Gabapentin (substance)
C0020208	Hydantoin
C0020208	Hydantoin antiepileptic
C0020208	Hydantoin derivative anticonvulsant (substance)
C0020208	Hydantoin (product)
C0020208	Hydantoin
C0020208	Hydantoin derivative anticonvulsant (product)
C0020208	Hydantoin derivative anticonvulsant
C0020208	Hydantoin derivative anticonvulsant
C0020208	Hydantoin derivative anticonvulsant
C0020208	Hydantoin
C0020208	Hydantoin antiepileptic
C0020208	Hydantoin (substance)
C0020208	Hydantoin (substance)
C0064636	Lamotrigine
C0064636	lamotrigine
C0064636	Lamotrigine
C0064636	lamoTRIgine
C0064636	Lamotrigine
C0064636	lamotrigine
C0064636	Product containing lamotrigine (medicinal product)
C0064636	Lamotrigine (product)
C0064636	Product containing lamotrigine
C0064636	Lamotrigine
C0064636	Lamotrigine
C0064636	Lamotrigine (substance)
C0064636	Lamotrigine (substance)
C0038623	Succinimides
C0038623	Succinimide antiepileptic
C0038623	Succinimide antiepileptic
C0038623	Product containing succinimide
C0038623	Product containing succinimide (medicinal product)
C0038623	Succinimide (product)
C0038623	Succinimide
C0038623	Succinimide
C0038623	Succinimide (substance)
C0038623	Succinimide (substance)
C0080356	Valproate
C0080356	Valproate product
C0080356	Valproate
C0080356	Valproate
C0080356	Valproate
C0080356	Valproate (substance)
C0080356	Valproate
C0080356	Valproate
C0080356	Valproate (product)
C0080356	Product containing valproate
C0080356	Product containing valproate (medicinal product)
