C0014550	myoclonic epilepsy
C0014557	post traumatic epilepsy
C0014557	post-traumatic epilepsy
C0007761	ataxia, dentate cerebellar
C0007761	ataxias, dentate cerebellar
C0007761	atrophies, dentate cerebellar
C0007761	atrophy, dentate cerebellar
C0007761	cerebellar ataxias, dentate
C0007761	cerebellar atrophy, dentate
C0007761	cerebellar dyssynergia
C0007761	cerebellar dyssynergia, myoclonic
C0007761	cerebellar dyssynergias
C0007761	cerebellar dyssynergias, myoclonic
C0007761	dentate cerebellar ataxias
C0007761	dentate cerebellar atrophies
C0007761	dentate cerebellar atrophy
C0007761	dentate nucleus syndrome, ramsay hunt
C0007761	dentato-rubral atrophy syndrome
C0007761	dyssynerg cerebellar myoclon
C0007761	dyssynergia, cerebellar
C0007761	dyssynergia, myoclonic cerebellar
C0007761	dyssynergias, cerebellar
C0007761	dyssynergias, myoclonic cerebellar
C0007761	early cerebl atax & myoclonus
C0007761	early onset cerebellar ataxia with myoclonus
C0007761	early-onset cerebellar ataxia with myoclonus [hunt's ataxia]
C0007761	hunt's disease
C0007761	myoclonic cerebellar dyssynergia
C0007761	myoclonic cerebellar dyssynergias
C0007761	progressive cerebellar tremor
C0007761	ramsay hunt cerebellar syndrome
C0007761	ramsay hunt dentate syndrome
C0007761	ramsay hunt syndrome - ataxia
C0007761	ramsay hunt syndrome 1
C0007761	ramsay hunt's syndrome 2
C0014544	attack - epileptic
C0014544	epilectic attack, nos
C0014544	epilepsies
C0014544	epilepsy
C0014544	epilepsy, unspecified
C0014544	epileptic
C0014544	epileptic attack
C0014544	epileptic convulsions
C0014544	epileptic disorder
C0014544	epileptic fit
C0014544	epileptic fits
C4317109	epileptic seizure
C4317109	epileptic seizures
C0014544	seizure disorders
C0014547	epilepsies, focal
C0014547	epilepsies, localization-related
C0014547	epilepsies, partial
C0014547	epilepsy, localization-related
C0014547	epilepsy, partial
C0014547	focal epilepsies
C0014547	focal epilepsy
C0014547	local epilepsy
C0014547	localisation related epilepsy
C0014547	localisation-related epilepsy
C0014547	localisation-related epilepsy
C0014547	localization-related epilepsies
C0014547	partial epilepsy
C0014548	epilepsy, generalized
C0014548	generalised epilepsy
C0014548	generalised seizure disorder
C0014548	generalized epilepsies
C0014549	grand mal epilepsy 
C0014549	major epilepsies
C0014549	major motor seizure disorder
C0014549	major motor seizure disorder
C0014549	syndromes, tonic-clonic seizure
C0014549	tonic clonic convulsion syndrome
C0014549	tonic clonic seizure syndrome
C0014549	tonic-clonic convulsion syndrome
C0014549	tonic-clonic convulsion syndrome
C0014549	tonic-clonic convulsion syndrome
C0014549	tonic-clonic convulsion syndromes
C0014549	tonic-clonic convulsion syndromes
C0014549	tonic-clonic epilepsies
C0014549	tonic-clonic epilepsies
C0014549	tonic-clonic epilepsy
C0014549	tonic-clonic epileptic seizures
