alcohol abuse	Alcoholic Intoxication	
myocardial infarction - cardiovascular	cardiac infarction	
myocardial infarction - cardiovascular	heart attack	
 	Meningeal Tuberculosis	
chromosomal abnormality	12p partial trisomy syndrome	
gene abnormality	17q21.31 deletion syndrome	
gene abnormality	17q21.31 microdeletion syndrome	
	1-Hydroxymidazolam	
xxx	2-Propylpentanoic acid	
xxx	2-Propylvaleric acid	
xxx	Abnormal amygdala morphology	
xxx	Abnormal brain morphology	
	Abnormal cerebral morphology	
	abnormal connection of hepatic vein to atrium	
EEG abnormal	abnormal EEG	
	Abnormal hippocampus morphology	
	Abnormal movement	
	abnormal MRI	
	Abnormality of the cerebellum	
	absence	
generalised	absence epilepsy	
	absence like seizures	
generalised	absence seizure	
generalised	absence seizure disorder	
generalised	absence seizure with atonic components	
generalised	absence seizure with automatisms	
generalised	Absence seizure with eyelid myoclonia	
generalised	absence seizure with tonic components	
generalised	absence seizures	
generalised	absence seizures with automatisms	
generalised	Absence seizures with eyelid myoclonia	
generalised	absence seizures with mild clonic components	
generalised	absence seizures with tonic components	
generalised	absence status	
xx	absence type seizure	
xx	absence type seizures	
x	Absences	
x	Acquired aphasia with epilepsy	
x	acquired aphasia with epilepsy, non-refractory	
x	acquired aphasia with epilepsy, refractory	
brain injury - comorbidity 	acquired brain injury	
	Acquired epileptic aphasia	
	acquired epileptic aphasia, non-intractable	
comorbidity	adhd	
generalised epilepsy	adolescent myoclonic epilepsy	
JME - IDE 	adolescent myoclonic epilepsy	
	seizure	afebrile seizure
	akinetic epilepsy	
	akinetic epileptic seizures	
	Akinetic seizure without atonia	
	akinetic seizures	
	al gazali nair syndrome	
	alcohol abuse	
	alcohol withdrawal induced seizures	
	alcohol withdrawal seizures	
	alcohol withdrawal-induced seizure	
	alcoholic seizures	
	alcohol-related seizures	
	altered awareness and consciousness	
	altered of consciousness	
 dementia comorbidity 	alzheimer	
 dementia comorbidity 	alzheimer dementia	
 dementia comorbidity 	alzheimer sclerosis	
 dementia comorbidity 	alzheimer syndrome	
 dementia comorbidity 	alzheimer type dementia	
 dementia comorbidity 	alzheimer type senile dementia	
 dementia comorbidity 	alzheimers disease	
 dementia comorbidity 	alzheimer's disease	
 dementia comorbidity 	alzheimer-type dementia	
	amygdalohippocampectomy	
	angelman syndrome	
