Piracetam,CUI=C0031977
Piracetam,CUI=C0031977
Piracetam (product),CUI=C0031977
Product containing piracetam,CUI=C0031977
Product containing piracetam (medicinal product),CUI=C0031977
Piracetam,CUI=C0031977
Piracetam,CUI=C0031977
Piracetam (substance),CUI=C0031977
Piracetam (substance),CUI=C0031977
Barbiturate antiepileptic,CUI=C0360117
Barbiturate antiepileptic,CUI=C0360117
Barbiturate antiepileptic,CUI=C0360117
Barbiturate antiepileptic (product),CUI=C0360117
Barbiturate antiepileptic (substance),CUI=C0360117
Barbiturate antiepileptic (substance),CUI=C0360117
Beclamide,CUI=C0053067
Beclamide,CUI=C0053067
Beclamide - chemical (substance),CUI=C0053067
Beclamide (substance),CUI=C0053067
Beclamide - chemical,CUI=C0053067
Beclamide,CUI=C0053067
Beclamide,CUI=C0053067
Beclamide (product),CUI=C0053067
Beclamide,CUI=C0053067
Beclamide (substance),CUI=C0053067
Carbazepine antiepileptic,CUI=C0360123
Carbazepine antiepileptic,CUI=C0360123
Carbazepine antiepileptic,CUI=C0360123
Carbazepine antiepileptic (product),CUI=C0360123
Carbazepine antiepileptic (substance),CUI=C0360123
Carbazepine antiepileptic (substance),CUI=C0360123
Drugs for control of epilepsy,CUI=C0355653
Drugs for the control of epilepsy,CUI=C0355653
Drugs for the control of epilepsy,CUI=C0355653
Drugs for the control of epilepsy (product),CUI=C0355653
Drugs for the control of epilepsy (substance),CUI=C0355653
Drugs used in status epilept,CUI=C0355712
Drugs used in status epilepticus,CUI=C0355712
Drugs used in status epilepticus (product),CUI=C0355712
Drugs used in status epilepticus,CUI=C0355712
Drugs used in status epilepticus (substance),CUI=C0355712
Febrile convulsions,CUI=C0595982
Febrile Convulsion Medications,CUI=C0595982
Gaba related antiepileptic,CUI=C0360125
Gaba related antiepileptic,CUI=C0360125
Gaba related antiepileptic (product),CUI=C0360125
Gaba related antiepileptic (substance),CUI=C0360125
Gabapentin,CUI=C0060926
gabapentin,CUI=C0060926
Gabapentin,CUI=C0060926
Gabapentin,CUI=C0060926
gabapentin,CUI=C0060926
Product containing gabapentin,CUI=C0060926
Gabapentin (product),CUI=C0060926
Product containing gabapentin (medicinal product),CUI=C0060926
Gabapentin,CUI=C0060926
Gabapentin,CUI=C0060926
Gabapentin (substance),CUI=C0060926
Gabapentin (substance),CUI=C0060926
Hydantoin,CUI=C0020208
Hydantoin antiepileptic,CUI=C0020208
Hydantoin derivative anticonvulsant (substance),CUI=C0020208
Hydantoin (product),CUI=C0020208
Hydantoin,CUI=C0020208
Hydantoin derivative anticonvulsant (product),CUI=C0020208
Hydantoin derivative anticonvulsant,CUI=C0020208
Hydantoin derivative anticonvulsant,CUI=C0020208
Hydantoin derivative anticonvulsant,CUI=C0020208
Hydantoin,CUI=C0020208
Hydantoin antiepileptic,CUI=C0020208
Hydantoin (substance),CUI=C0020208
Hydantoin (substance),CUI=C0020208
Lamotrigine,CUI=C0064636
lamotrigine,CUI=C0064636
Lamotrigine,CUI=C0064636
lamoTRIgine,CUI=C0064636
Lamotrigine,CUI=C0064636
lamotrigine,CUI=C0064636
Product containing lamotrigine (medicinal product),CUI=C0064636
Lamotrigine (product),CUI=C0064636
Product containing lamotrigine,CUI=C0064636
Lamotrigine,CUI=C0064636
Lamotrigine,CUI=C0064636
Lamotrigine (substance),CUI=C0064636
Lamotrigine (substance),CUI=C0064636
Succinimides,CUI=C0038623
Succinimide antiepileptic,CUI=C0038623
Succinimide antiepileptic,CUI=C0038623
Product containing succinimide,CUI=C0038623
Product containing succinimide (medicinal product),CUI=C0038623
Succinimide (product),CUI=C0038623
Succinimide,CUI=C0038623
Succinimide,CUI=C0038623
Succinimide (substance),CUI=C0038623
Succinimide (substance),CUI=C0038623
Valproate,CUI=C0080356
Valproate product,CUI=C0080356
Valproate,CUI=C0080356
Valproate,CUI=C0080356
Valproate,CUI=C0080356
Valproate (substance),CUI=C0080356
Valproate,CUI=C0080356
Valproate,CUI=C0080356
Valproate (product),CUI=C0080356
Product containing valproate,CUI=C0080356
Product containing valproate (medicinal product),CUI=C0080356
Valproate product,CUI=C0080356
Valproate,CUI=C0080356
Valproate,CUI=C0080356
Valproate (substance),CUI=C0080356
Valproate (substance),CUI=C0080356
topiramate,CUI=C0076829
topiramate,CUI=C0076829
Topiramate,CUI=C0076829
Topiramate,CUI=C0076829
Topiramate,CUI=C0076829
Product containing topiramate (medicinal product),CUI=C0076829
Product containing topiramate,CUI=C0076829
Topiramate (product),CUI=C0076829
Topiramate,CUI=C0076829
Topiramate,CUI=C0076829
Topiramate (substance),CUI=C0076829
Topiramate (substance),CUI=C0076829
Benzodiazepine antiepileptic,CUI=C0053218
Benzodiazepine antiepileptic (product),CUI=C0053218
Benzodiazepine antiepileptic,CUI=C0053218
Benzodiazepine antiepileptic,CUI=C0053218
Benzodiazepine antiepileptic (product),CUI=C0053218
Benzodiazepine antiepileptic,CUI=C0053218
Benzodiazepine antiepileptic,CUI=C0053218
tiagabine,CUI=C0068897
Tiagabine,CUI=C0068897
Tiagabine,CUI=C0068897
tiaGABine,CUI=C0068897
Tiagabine,CUI=C0068897
tiagabine,CUI=C0068897
Tiagabine (product),CUI=C0068897
Product containing tiagabine,CUI=C0068897
Product containing tiagabine (medicinal product),CUI=C0068897
Tiagabine,CUI=C0068897
Tiagabine,CUI=C0068897
Tiagabine (substance),CUI=C0068897
Tiagabine (substance),CUI=C0068897
