myoclonic epilepsy	CUI=C0014550	PREF=Myoclonic Epilepsy	TUI=T047	STY=Disease or Syndrome
post traumatic epilepsy	CUI=C0014557	PREF=Epilepsy, Post-Traumatic	TUI=T037	STY=Injury or Poisoning	Epilepsy=Yes
post-traumatic epilepsy	CUI=C0014557	PREF=Epilepsy, Post-Traumatic	TUI=T037	STY=Injury or Poisoning	Epilepsy=Yes
ataxia, dentate cerebellar	CUI=C0007761	PREF=Myoclonic Cerebellar Dyssynergia	TUI=T047	STY=Disease or Syndrome	
ataxias, dentate cerebellar	CUI=C0007761	PREF=Myoclonic Cerebellar Dyssynergia	TUI=T047	STY=Disease or Syndrome	
atrophies, dentate cerebellar	CUI=C0007761	PREF=Myoclonic Cerebellar Dyssynergia	TUI=T047	STY=Disease or Syndrome	
atrophy, dentate cerebellar	CUI=C0007761	PREF=Myoclonic Cerebellar Dyssynergia	TUI=T047	STY=Disease or Syndrome	
cerebellar ataxias, dentate	CUI=C0007761	PREF=Myoclonic Cerebellar Dyssynergia	TUI=T047	STY=Disease or Syndrome	
cerebellar atrophy, dentate	CUI=C0007761	PREF=Myoclonic Cerebellar Dyssynergia	TUI=T047	STY=Disease or Syndrome	
cerebellar dyssynergia	CUI=C0007761	PREF=Myoclonic Cerebellar Dyssynergia	TUI=T047	STY=Disease or Syndrome	
cerebellar dyssynergia, myoclonic	CUI=C0007761	PREF=Myoclonic Cerebellar Dyssynergia	TUI=T047	STY=Disease or Syndrome	
cerebellar dyssynergias	CUI=C0007761	PREF=Myoclonic Cerebellar Dyssynergia	TUI=T047	STY=Disease or Syndrome	
cerebellar dyssynergias, myoclonic	CUI=C0007761	PREF=Myoclonic Cerebellar Dyssynergia	TUI=T047	STY=Disease or Syndrome	
dentate cerebellar ataxias	CUI=C0007761	PREF=Myoclonic Cerebellar Dyssynergia	TUI=T047	STY=Disease or Syndrome	
dentate cerebellar atrophies	CUI=C0007761	PREF=Myoclonic Cerebellar Dyssynergia	TUI=T047	STY=Disease or Syndrome	
dentate cerebellar atrophy	CUI=C0007761	PREF=Myoclonic Cerebellar Dyssynergia	TUI=T047	STY=Disease or Syndrome	
dentate nucleus syndrome, ramsay hunt	CUI=C0007761	PREF=Myoclonic Cerebellar Dyssynergia	TUI=T047	STY=Disease or Syndrome	
dentato-rubral atrophy syndrome	CUI=C0007761	PREF=Myoclonic Cerebellar Dyssynergia	TUI=T047	STY=Disease or Syndrome	
dyssynerg cerebellar myoclon	CUI=C0007761	PREF=Myoclonic Cerebellar Dyssynergia	TUI=T047	STY=Disease or Syndrome	
dyssynergia cerebellaris myoclonica (disorder)	CUI=C0007761	PREF=Myoclonic Cerebellar Dyssynergia	TUI=T047	STY=Disease or Syndrome	
dyssynergia, cerebellar	CUI=C0007761	PREF=Myoclonic Cerebellar Dyssynergia	TUI=T047	STY=Disease or Syndrome	
dyssynergia, myoclonic cerebellar	CUI=C0007761	PREF=Myoclonic Cerebellar Dyssynergia	TUI=T047	STY=Disease or Syndrome	
dyssynergias, cerebellar	CUI=C0007761	PREF=Myoclonic Cerebellar Dyssynergia	TUI=T047	STY=Disease or Syndrome	
dyssynergias, myoclonic cerebellar	CUI=C0007761	PREF=Myoclonic Cerebellar Dyssynergia	TUI=T047	STY=Disease or Syndrome	
early cerebl atax & myoclonus	CUI=C0007761	PREF=Myoclonic Cerebellar Dyssynergia	TUI=T047	STY=Disease or Syndrome	
early onset cerebellar ataxia with myoclonus	CUI=C0007761	PREF=Myoclonic Cerebellar Dyssynergia	TUI=T047	STY=Disease or Syndrome	
early onset cerebellar ataxia with myoclonus (disorder)	CUI=C0007761	PREF=Myoclonic Cerebellar Dyssynergia	TUI=T047	STY=Disease or Syndrome	
early-onset cerebellar ataxia with myoclonus [hunt's ataxia]	CUI=C0007761	PREF=Myoclonic Cerebellar Dyssynergia	TUI=T047	STY=Disease or Syndrome	
hunt's disease	CUI=C0007761	PREF=Myoclonic Cerebellar Dyssynergia	TUI=T047	STY=Disease or Syndrome	
